cpcv2,description,common_name,display_name,es_name,fr_name,pt_name,ar_name,aliases,hs2012,scientific_name,per_country_aliases
P4835,Parts for the goods of classes 4831 to 4833,,Parts for the goods of classes 4831 to 4833,,,,,[],,,[]
P48351,Parts and accessories for the goods of subclass 48314,,Parts and accessories for the goods of subclass 48314,,,,,[],"['9005.90', '9011.90']",,[]
P48352,"Parts of frames and mountings for spectacles, goggles or the like",,"Parts of frames and mountings for spectacles, goggles or the...",,,,,[],['9003.90'],,[]
P48353,Parts and accessories for the goods of subclass 48322; parts and accessories of cinematographic projectors; parts and accessories of photographic flashlight apparatus; parts and accessories of image projectors (except cinematographic) and photographic (except cinematographic) enlargers and reducers; parts and accessories n.e.c. of apparatus and equipment for photographic laboratories; parts and accessories of negatoscopes and projection screens,,Parts and accessories for the goods of subclass 48322; parts...,,,,,[],"['9006.91', '9006.99', '9007.91', '9007.92', '9008.90', '9010.90']",,[]
P48354,Parts and accessories for the goods of subclass 48315,,Parts and accessories for the goods of subclass 48315,,,,,[],['9013.90'],,[]
P484,"Watches and clocks, and parts thereof",,"Watches and clocks, and parts thereof",,,,,[],,,[]
P4841,Watches,,Watches,,,,,[],,,[]
P48410,Watches,,Watches,,,,,[],"['9101.11', '9101.19', '9101.21', '9101.29', '9101.91', '9101.99', '9102.11', '9102.12', '9102.19', '9102.21', '9102.29', '9102.91', '9102.99']",,[]
P4842,Clocks,,Clocks,,,,,[],,,[]
P48420,Clocks,,Clocks,,,,,[],"['9103.10', '9103.90', '9104.00', '9105.11', '9105.19', '9105.21', '9105.29', '9105.91', '9105.99']",,[]
