"CPC21code","CPC21partial","HS12code","HS12partial"
"21131",1,"0202.20",1
"21131",1,"0202.30",1
"21132",1,"0202.10",1
"21132",1,"0202.20",1
"21132",1,"0202.30",1
"21133",1,"0203.21",0
"21133",1,"0203.22",0
"21133",1,"0203.29",0
"21134",0,"0208.10",1
"21135",1,"0204.30",0
"21135",1,"0204.41",0
"21135",1,"0204.42",0
"21135",1,"0204.43",0
"21136",0,"0204.50",1
"21137",0,"0208.60",1
"21138",0,"0205.00",1
"21139",1,"0208.30",1
"21139",1,"0208.40",1
"21139",1,"0208.90",1
"21141",1,"0207.12",0
"21141",1,"0207.14",1
"21142",1,"0207.42",0
"21142",1,"0207.45",1
"21143",1,"0207.52",0
"21143",1,"0207.55",1
"21144",1,"0207.25",0
"21144",1,"0207.27",1
"21145",0,"0207.60",1
"21151",1,"0206.10",1
"21151",1,"0206.21",1
"21151",1,"0206.22",1
"21151",1,"0206.29",1
"21151",1,"0504.00",1
"21152",1,"0206.10",1
"21152",1,"0206.21",1
"21152",1,"0206.22",1
"21152",1,"0206.29",1
"21152",1,"0504.00",1
"21153",1,"0206.30",0
"21153",1,"0206.41",0
"21153",1,"0206.49",0
"21153",1,"0504.00",1
"21155",1,"0206.80",1
"21155",1,"0206.90",1
"21155",1,"0504.00",1
"21156",1,"0206.80",1
"21156",1,"0206.90",1
"21156",1,"0504.00",1
"21159",1,"0206.80",1
"21159",1,"0206.90",1
"21159",1,"0208.10",1
"21159",1,"0208.30",1
"21159",1,"0208.40",1
"21159",1,"0208.60",1
"21159",1,"0208.90",1
"21160",1,"0207.13",1
"21160",1,"0207.14",1
"21160",1,"0207.26",1
"21160",1,"0207.27",1
"21160",1,"0207.43",0
"21160",1,"0207.44",1
"21160",1,"0207.45",1
"21160",1,"0207.53",0
"21160",1,"0207.54",1
"21160",1,"0207.55",1
"21160",1,"0207.60",1
"21170",1,"0208.50",0
"21170",1,"0208.90",1
"21181",1,"0210.11",0
"21181",1,"0210.12",0
"21181",1,"0210.19",0
"21182",0,"0210.20",0
"21183",1,"0210.91",0
"21183",1,"0210.92",0
"21183",1,"0210.93",0
"21183",1,"0210.99",0
"21184",0,"1601.00",1
"21185",0,"1603.00",0
"21186",1,"1601.00",1
"21186",1,"1602.20",1
"21186",1,"1602.31",1
"21186",1,"1602.32",1
"21186",1,"1602.39",1
"21186",1,"1602.41",1
"21186",1,"1602.42",1
"21186",1,"1602.49",1
"21186",1,"1602.50",1
"21186",1,"1602.90",1
"21189",1,"1602.20",1
"21189",1,"1602.31",1
"21189",1,"1602.32",1
"21189",1,"1602.39",1
"21189",1,"1602.41",1
"21189",1,"1602.42",1
"21189",1,"1602.49",1
"21189",1,"1602.50",1
"21189",1,"1602.90",1
"21190",0,"2301.10",0
"21211",1,"0303.23",0
"21211",1,"0303.24",0
"21211",1,"0303.25",0
"21211",1,"0303.26",0
"21211",1,"0303.29",0
"21211",1,"0303.89",1
"21212",1,"0303.11",0
"21212",1,"0303.12",0
"21212",1,"0303.13",0
"21212",1,"0303.14",0
"21212",1,"0303.19",0
"21213",1,"0303.31",0
"21213",1,"0303.32",0
"21213",1,"0303.33",0
"21213",1,"0303.34",0
"21213",1,"0303.39",0
"21214",1,"0303.63",0
"21214",1,"0303.64",0
"21214",1,"0303.65",0
"21214",1,"0303.66",0
"21214",1,"0303.67",0
"21214",1,"0303.68",0
"21214",1,"0303.69",0
"21215",1,"0303.41",0
"21215",1,"0303.42",0
"21215",1,"0303.43",0
"21215",1,"0303.44",0
"21215",1,"0303.45",0
"21215",1,"0303.46",0
"21215",1,"0303.49",0
"21216",1,"0303.51",0
"21216",1,"0303.53",0
"21216",1,"0303.54",0
"21216",1,"0303.55",0
"21216",1,"0303.56",0
"21216",1,"0303.57",0
"21216",1,"0303.89",1
"21219",1,"0303.81",0
"21219",1,"0303.82",0
"21219",1,"0303.83",0
"21219",1,"0303.84",0
"21219",1,"0303.89",1
"21221",1,"0304.31",0
"21221",1,"0304.32",0
"21221",1,"0304.33",0
"21221",1,"0304.39",0
"21221",1,"0304.41",0
"21221",1,"0304.42",0
"21221",1,"0304.43",0
"21221",1,"0304.44",0
"21221",1,"0304.45",0
"21221",1,"0304.46",0
"21221",1,"0304.49",0
"21221",1,"0304.51",0
"21221",1,"0304.52",0
"21221",1,"0304.53",0
"21221",1,"0304.54",0
"21221",1,"0304.55",0
"21221",1,"0304.59",0
"21222",1,"0304.61",0
"21222",1,"0304.62",0
"21222",1,"0304.63",0
"21222",1,"0304.69",0
"21222",1,"0304.71",0
"21222",1,"0304.72",0
"21222",1,"0304.73",0
"21222",1,"0304.74",0
"21222",1,"0304.75",0
"21222",1,"0304.79",0
"21222",1,"0304.81",0
"21222",1,"0304.82",0
"21222",1,"0304.83",0
"21222",1,"0304.84",0
"21222",1,"0304.85",0
"21222",1,"0304.86",0
"21222",1,"0304.87",0
"21222",1,"0304.89",0
"21223",1,"0304.91",0
"21223",1,"0304.92",0
"21223",1,"0304.93",0
"21223",1,"0304.94",0
"21223",1,"0304.95",0
"21223",1,"0304.99",0
"21224",1,"0305.31",0
"21224",1,"0305.32",0
"21224",1,"0305.39",0
"21225",0,"0302.90",0
"21226",0,"0303.90",0
"21227",0,"0305.20",0
"21231",1,"0305.51",0
"21231",1,"0305.59",0
"21231",1,"0305.61",0
"21231",1,"0305.62",0
"21231",1,"0305.63",0
"21231",1,"0305.64",0
"21231",1,"0305.69",0
"21232",1,"0305.41",0
"21232",1,"0305.42",0
"21232",1,"0305.43",0
"21232",1,"0305.44",0
"21232",1,"0305.49",0
"21233",0,"0305.10",0
"21234",1,"0305.71",0
"21234",1,"0305.72",0
"21234",1,"0305.79",0
"21241",1,"1604.11",1
"21241",1,"1604.12",1
"21241",1,"1604.13",1
"21241",1,"1604.14",1
"21241",1,"1604.15",1
"21241",1,"1604.16",1
"21241",1,"1604.17",1
"21241",1,"1604.19",1
"21241",1,"1604.20",1
"21241",1,"1605.10",1
"21241",1,"1605.21",1
"21241",1,"1605.29",1
"21241",1,"1605.30",1
"21241",1,"1605.40",1
"21241",1,"1605.51",1
"21241",1,"1605.52",1
"21241",1,"1605.53",1
"21241",1,"1605.54",1
"21241",1,"1605.55",1
"21241",1,"1605.56",1
"21241",1,"1605.57",1
"21241",1,"1605.59",1
"21241",1,"1605.61",1
"21241",1,"1605.62",1
"21241",1,"1605.63",1
"21241",1,"1605.69",1
"21242",1,"1604.11",1
"21242",1,"1604.12",1
"21242",1,"1604.13",1
"21242",1,"1604.14",1
"21242",1,"1604.15",1
"21242",1,"1604.16",1
"21242",1,"1604.17",1
"21242",1,"1604.19",1
"21242",1,"1604.20",1
"21243",1,"1604.31",0
"21243",1,"1604.32",0
"21251",1,"0306.14",0
"21251",1,"0306.24",1
"21252",1,"0306.11",0
"21252",1,"0306.21",1
"21253",1,"0306.12",0
"21253",1,"0306.22",1
"21254",1,"0306.15",0
"21254",1,"0306.25",1
"21255",1,"0306.16",0
"21255",1,"0306.26",1
"21256",1,"0306.17",0
"21256",1,"0306.27",1
"21259",1,"0306.19",0
"21259",1,"0306.29",1
"21261",0,"0307.89",0
"21262",0,"0307.19",0
"21263",0,"0307.39",0
"21264",0,"0307.29",0
"21265",0,"0307.79",0
"21266",0,"0307.49",0
"21267",0,"0307.59",0
"21268",0,"0307.99",0
"21269",1,"0308.19",0
"21269",1,"0308.29",0
"21269",1,"0308.30",1
"21269",1,"0308.90",1
"21270",1,"1605.10",1
"21270",1,"1605.21",1
"21270",1,"1605.29",1
"21270",1,"1605.30",1
"21270",1,"1605.40",1
"21280",1,"1605.51",1
"21280",1,"1605.52",1
"21280",1,"1605.53",1
"21280",1,"1605.54",1
"21280",1,"1605.55",1
"21280",1,"1605.56",1
"21280",1,"1605.57",1
"21280",1,"1605.59",1
"21280",1,"1605.61",1
"21280",1,"1605.62",1
"21280",1,"1605.63",1
"21280",1,"1605.69",1
"21291",0,"2301.20",0
"21299",0,"0511.91",0
"21311",0,"0710.22",0
"21312",0,"0710.21",0
"21313",0,"0710.10",0
"21319",1,"0710.29",0
"21319",1,"0710.30",0
"21319",1,"0710.40",0
"21319",1,"0710.80",0
"21319",1,"0710.90",0
"21321",0,"2009.50",0
"21329",1,"2009.89",1
"21329",1,"2009.90",1
"21330",1,"0711.20",0
"21330",1,"0711.40",0
"21330",1,"0711.51",0
"21330",1,"0711.59",0
"21330",1,"0711.90",0
"21340",1,"2001.10",0
"21340",1,"2001.90",1
"21391",0,"2004.90",1
"21392",1,"1105.10",0
"21392",1,"1105.20",0
"21393",1,"0712.20",0
"21393",1,"0712.31",0
"21393",1,"0712.32",0
"21393",1,"0712.33",0
"21393",1,"0712.39",0
"21393",1,"0712.90",0
"21394",1,"2004.10",0
"21394",1,"2005.20",0
"21395",1,"2005.51",0
"21395",1,"2005.59",0
"21396",0,"2005.40",0
"21397",1,"2003.10",0
"21397",1,"2003.90",0
"21399",1,"2002.10",0
"21399",1,"2002.90",0
"21399",1,"2004.90",1
"21399",1,"2005.60",0
"21399",1,"2005.70",0
"21399",1,"2005.80",0
"21399",1,"2005.91",0
"21399",1,"2005.99",0
"21411",0,"0806.20",0
"21412",0,"0813.20",0
"21419",1,"0803.10",1
"21419",1,"0803.90",1
"21419",1,"0804.10",1
"21419",1,"0804.20",1
"21419",1,"0804.30",1
"21419",1,"0804.40",1
"21419",1,"0804.50",1
"21419",1,"0805.10",1
"21419",1,"0805.20",1
"21419",1,"0805.40",1
"21419",1,"0805.50",1
"21419",1,"0805.90",1
"21419",1,"0813.10",0
"21419",1,"0813.30",0
"21419",1,"0813.40",0
"21419",1,"0813.50",0
"21421",0,"1202.42",0
"21422",0,"0802.12",0
"21423",0,"0802.22",0
"21424",0,"0801.32",0
"21429",1,"0801.11",0
"21429",1,"0801.19",1
"21429",1,"0801.22",0
"21429",1,"0802.32",0
"21429",1,"0802.42",0
"21429",1,"0802.52",0
"21429",1,"0802.62",0
"21429",1,"0802.70",1
"21429",1,"0802.80",1
"21429",1,"0802.90",1
"21431",1,"2009.11",0
